month,frame,family,n_test,brier,brier_base,skill,base
2020-12,1d,through,6103,0.12673,0.13077,0.0309,0.9255
2021-01,5m,bounce,10975,0.16627,0.18166,0.0847,0.2866
2021-01,5m,through,10975,0.21961,0.26945,0.185,0.3272
2021-01,15m,bounce,10975,0.12755,0.13816,0.0768,0.211
2021-01,15m,through,10975,0.20397,0.24723,0.175,0.5105
2021-01,1h,bounce,10975,0.07636,0.07892,0.0323,0.1165
2021-01,1h,through,10975,0.15297,0.16704,0.0842,0.7263
2021-01,4h,bounce,10975,0.05001,0.04917,-0.0171,0.0699
2021-01,4h,through,10975,0.09793,0.09994,0.0201,0.8491
2021-01,1d,bounce,10975,0.06078,0.0537,-0.132,0.0413
2021-01,1d,through,10975,0.092,0.08479,-0.085,0.9232
2021-02,5m,bounce,8783,0.20189,0.20707,0.025,0.2836
2021-02,5m,through,8783,0.21251,0.22569,0.0584,0.3351
2021-02,15m,bounce,8783,0.16523,0.1668,0.0094,0.2083
2021-02,15m,through,8783,0.24504,0.24889,0.0155,0.5175
2021-02,1h,bounce,8783,0.11735,0.11598,-0.0118,0.1148
2021-02,1h,through,8783,0.19719,0.19288,-0.0223,0.7302
2021-02,4h,bounce,8783,0.08185,0.08112,-0.0089,0.0689
2021-02,4h,through,8783,0.1359,0.13147,-0.0338,0.8513
2021-02,1d,bounce,8783,0.05554,0.05359,-0.0364,0.0422
2021-02,1d,through,8783,0.08104,0.07787,-0.0408,0.9222
2021-03,5m,bounce,4799,0.19949,0.21442,0.0696,0.284
2021-03,5m,through,4799,0.17906,0.20093,0.1088,0.3355
2021-03,15m,bounce,4799,0.18372,0.19983,0.0806,0.2085
2021-03,15m,through,4799,0.23079,0.25267,0.0866,0.5185
2021-03,1h,bounce,4799,0.11828,0.1207,0.0201,0.1156
2021-03,1h,through,4799,0.21226,0.22307,0.0485,0.7306
2021-03,4h,bounce,4799,0.07877,0.07856,-0.0027,0.0697
2021-03,4h,through,4799,0.13967,0.14201,0.0164,0.851
2021-03,1d,bounce,4799,0.0714,0.07024,-0.0166,0.0428
2021-03,1d,through,4799,0.10305,0.10193,-0.011,0.9219
2021-04,5m,bounce,10400,0.16664,0.18609,0.1045,0.2846
2021-04,5m,through,10400,0.20128,0.25144,0.1995,0.334
2021-04,15m,bounce,10400,0.12998,0.1404,0.0742,0.2098
2021-04,15m,through,10400,0.21085,0.24718,0.147,0.5167
2021-04,1h,bounce,10400,0.08078,0.08413,0.0399,0.1161
2021-04,1h,through,10400,0.16947,0.18017,0.0594,0.7293
2021-04,4h,bounce,10400,0.04969,0.0508,0.0217,0.0701
2021-04,4h,through,10400,0.103,0.10721,0.0393,0.8505
2021-04,1d,bounce,10400,0.02351,0.01041,-1.2584,0.0435
2021-04,1d,through,10400,0.04046,0.02606,-0.5525,0.9211
2021-05,5m,bounce,9251,0.18163,0.19784,0.0819,0.2827
2021-05,5m,through,9251,0.19538,0.22831,0.1442,0.3381
2021-05,15m,bounce,9251,0.13808,0.14558,0.0515,0.2078
2021-05,15m,through,9251,0.22812,0.24783,0.0795,0.5203
2021-05,1h,bounce,9251,0.08486,0.08422,-0.0075,0.115
2021-05,1h,through,9251,0.17294,0.17983,0.0383,0.7311
2021-05,4h,bounce,9251,0.06066,0.05918,-0.025,0.0693
2021-05,4h,through,9251,0.11966,0.12373,0.0329,0.8519
2021-05,1d,bounce,9251,0.03559,0.03206,-0.11,0.0419
2021-05,1d,through,9251,0.06574,0.06536,-0.0059,0.9237
2021-06,5m,bounce,4146,0.22487,0.23723,0.0521,0.2822
2021-06,5m,through,4146,0.149,0.17446,0.1459,0.3386
2021-06,15m,bounce,4146,0.20033,0.21212,0.0556,0.2065
2021-06,15m,through,4146,0.24045,0.25466,0.0558,0.522
2021-06,1h,bounce,4146,0.13643,0.1437,0.0506,0.1141
2021-06,1h,through,4146,0.22877,0.23721,0.0356,0.7325
