depth,combo,cells,extinct
5,coin|etype|virgin|origin|rq,3093,False
5,coin|etype|virgin|origin|kq,3144,False
5,coin|etype|virgin|origin|uq,3187,False
5,coin|etype|virgin|origin|yd_arch,2814,False
5,coin|etype|virgin|origin|ob55,2828,False
5,coin|etype|virgin|origin|dtype,2488,False
5,coin|etype|virgin|origin|lean,2685,False
5,coin|etype|virgin|origin|scen_state,2572,False
5,coin|etype|virgin|origin|scen_failed,2642,False
5,coin|etype|virgin|tn|dq,2056,False
5,coin|etype|virgin|tn|sq,2344,False
5,coin|etype|virgin|tn|vq,2341,False
5,coin|etype|virgin|tn|rq,2354,False
5,coin|etype|virgin|tn|kq,2471,False
5,coin|etype|virgin|tn|uq,2533,False
5,coin|etype|virgin|tn|yd_arch,1933,False
5,coin|etype|virgin|tn|ob55,2223,False
5,coin|etype|virgin|tn|dtype,1393,False
5,coin|etype|virgin|tn|lean,1872,False
5,coin|etype|virgin|tn|scen_state,2074,False
5,coin|etype|virgin|tn|scen_failed,1808,False
5,coin|etype|virgin|dq|sq,2477,False
5,coin|etype|virgin|dq|vq,2609,False
5,coin|etype|virgin|dq|rq,2446,False
5,coin|etype|virgin|dq|kq,2570,False
5,coin|etype|virgin|dq|uq,2669,False
5,coin|etype|virgin|dq|yd_arch,2055,False
5,coin|etype|virgin|dq|ob55,2286,False
5,coin|etype|virgin|dq|dtype,1531,False
5,coin|etype|virgin|dq|lean,1908,False
5,coin|etype|virgin|dq|scen_state,1929,False
5,coin|etype|virgin|dq|scen_failed,1841,False
5,coin|etype|virgin|sq|vq,2557,False
5,coin|etype|virgin|sq|rq,2871,False
5,coin|etype|virgin|sq|kq,2883,False
5,coin|etype|virgin|sq|uq,2964,False
5,coin|etype|virgin|sq|yd_arch,2313,False
5,coin|etype|virgin|sq|ob55,2543,False
5,coin|etype|virgin|sq|dtype,1648,False
5,coin|etype|virgin|sq|lean,2121,False
5,coin|etype|virgin|sq|scen_state,1977,False
5,coin|etype|virgin|sq|scen_failed,2053,False
5,coin|etype|virgin|vq|rq,2791,False
5,coin|etype|virgin|vq|kq,2909,False
5,coin|etype|virgin|vq|uq,2963,False
5,coin|etype|virgin|vq|yd_arch,2300,False
5,coin|etype|virgin|vq|ob55,2526,False
5,coin|etype|virgin|vq|dtype,1665,False
5,coin|etype|virgin|vq|lean,2150,False
5,coin|etype|virgin|vq|scen_state,2035,False
5,coin|etype|virgin|vq|scen_failed,2078,False
5,coin|etype|virgin|rq|kq,3198,False
5,coin|etype|virgin|rq|uq,3291,False
5,coin|etype|virgin|rq|yd_arch,2551,False
5,coin|etype|virgin|rq|ob55,2803,False
5,coin|etype|virgin|rq|dtype,1912,False
5,coin|etype|virgin|rq|lean,2416,False
5,coin|etype|virgin|rq|scen_state,2372,False
5,coin|etype|virgin|rq|scen_failed,2347,False
5,coin|etype|virgin|kq|uq,3390,False
5,coin|etype|virgin|kq|yd_arch,2679,False
5,coin|etype|virgin|kq|ob55,2926,False
5,coin|etype|virgin|kq|dtype,1953,False
5,coin|etype|virgin|kq|lean,2433,False
5,coin|etype|virgin|kq|scen_state,2329,False
5,coin|etype|virgin|kq|scen_failed,2347,False
5,coin|etype|virgin|uq|yd_arch,2722,False
5,coin|etype|virgin|uq|ob55,2950,False
5,coin|etype|virgin|uq|dtype,1994,False
5,coin|etype|virgin|uq|lean,2551,False
5,coin|etype|virgin|uq|scen_state,2374,False
5,coin|etype|virgin|uq|scen_failed,2432,False
5,coin|etype|virgin|yd_arch|ob55,2201,False
