month,frame,family,n_test,n_train,brier,brier_base,skill,base
2018-11,15m,through,9628,48925,0.34228,0.25409,-0.3471,0.4793
2018-12,15m,bounce,5304,58553,0.16613,0.16332,-0.0172,0.2121
2018-12,15m,through,5304,58553,0.30015,0.25013,-0.2,0.4972
2019-01,15m,bounce,2585,63857,0.17766,0.19874,0.1061,0.2116
2019-01,15m,through,2585,63857,0.23823,0.24992,0.0468,0.4992
2019-02,15m,bounce,4426,66442,0.16605,0.17258,0.0379,0.2137
2019-02,15m,through,4426,66442,0.27148,0.25013,-0.0853,0.4973
2019-03,15m,bounce,3509,70868,0.1847,0.18695,0.0121,0.2142
2019-03,15m,through,3509,70868,0.2472,0.24974,0.0102,0.4989
2019-04,15m,bounce,8441,74377,0.12004,0.13511,0.1116,0.2157
2019-04,15m,through,8441,74377,0.21007,0.25219,0.167,0.4932
2019-05,15m,bounce,9327,82818,0.13223,0.14089,0.0615,0.2096
2019-05,15m,through,9327,82818,0.21203,0.24733,0.1427,0.51
2019-06,15m,bounce,6525,92145,0.15524,0.14332,-0.0832,0.2053
2019-06,15m,through,6525,92145,0.23376,0.2474,0.0551,0.523
2019-07,15m,bounce,3137,98670,0.18247,0.19495,0.064,0.2031
2019-07,15m,through,3137,98670,0.21999,0.25759,0.1459,0.526
2019-08,15m,bounce,3251,101807,0.18696,0.19703,0.0511,0.2048
2019-08,15m,through,3251,101807,0.25094,0.25426,0.013,0.5211
2019-09,15m,bounce,4459,105058,0.16649,0.17257,0.0353,0.2066
2019-09,15m,through,4459,105058,0.24471,0.24925,0.0182,0.5177
2019-10,15m,bounce,4666,109517,0.15245,0.1525,0.0003,0.2072
2019-10,15m,through,4666,109517,0.24687,0.2489,0.0082,0.5182
2019-11,15m,bounce,3734,114183,0.17561,0.18335,0.0422,0.2064
2019-11,15m,through,3734,114183,0.24564,0.25225,0.0262,0.519
2019-12,15m,bounce,4121,117917,0.18899,0.20177,0.0633,0.2074
2019-12,15m,through,4121,117917,0.24061,0.25422,0.0535,0.5169
2020-01,15m,bounce,6232,122038,0.14701,0.15465,0.0494,0.2096
2020-01,15m,through,6232,122038,0.24634,0.24967,0.0133,0.5124
2020-02,15m,bounce,5532,128270,0.16432,0.16846,0.0246,0.2087
2020-02,15m,through,5532,128270,0.24128,0.25002,0.035,0.5127
2020-03,15m,bounce,5197,133802,0.14182,0.15589,0.0902,0.2089
2020-03,15m,through,5197,133802,0.23558,0.24863,0.0525,0.5124
2020-04,15m,bounce,3681,138999,0.17242,0.18714,0.0786,0.2083
2020-04,15m,through,3681,138999,0.22662,0.25199,0.1007,0.5142
2020-05,15m,bounce,4656,142680,0.17398,0.18192,0.0436,0.2093
2020-05,15m,through,4656,142680,0.23702,0.25215,0.06,0.5122
2020-06,15m,bounce,3080,147336,0.20842,0.20584,-0.0126,0.2102
2020-06,15m,through,3080,147336,0.24417,0.25178,0.0302,0.5093
2020-07,15m,bounce,5964,150416,0.14769,0.15503,0.0473,0.2116
2020-07,15m,through,5964,150416,0.22623,0.24864,0.0901,0.5072
2020-08,15m,bounce,3390,156380,0.1628,0.16916,0.0376,0.2108
2020-08,15m,through,3390,156380,0.2326,0.25017,0.0702,0.5107
2020-09,15m,bounce,5517,159770,0.17455,0.18533,0.0582,0.2109
2020-09,15m,through,5517,159770,0.23132,0.25061,0.077,0.5104
2020-10,15m,bounce,5626,165287,0.17683,0.18132,0.0247,0.212
2020-10,15m,through,5626,165287,0.25427,0.25186,-0.0096,0.5093
2020-11,15m,bounce,9596,170913,0.17296,0.14621,-0.183,0.2128
2020-11,15m,through,9596,170913,0.34066,0.24886,-0.3689,0.5058
2020-12,15m,bounce,6103,180509,0.16381,0.17011,0.037,0.2108
2020-12,15m,through,6103,180509,0.25396,0.25011,-0.0154,0.5109
2021-01,15m,bounce,10975,186612,0.14422,0.13816,-0.0438,0.211
2021-01,15m,through,10975,186612,0.28843,0.24723,-0.1667,0.5105
2021-02,15m,bounce,8783,197587,0.17042,0.1668,-0.0217,0.2083
2021-02,15m,through,8783,197587,0.25744,0.24889,-0.0344,0.5175
2021-03,15m,bounce,4799,206370,0.18688,0.19983,0.0648,0.2085
2021-03,15m,through,4799,206370,0.23731,0.25267,0.0608,0.5185
2021-04,15m,bounce,10400,211169,0.13516,0.1404,0.0373,0.2098
2021-04,15m,through,10400,211169,0.2293,0.24718,0.0723,0.5167
2021-05,15m,bounce,9251,221569,0.14977,0.14558,-0.0288,0.2078
2021-05,15m,through,9251,221569,0.24333,0.24783,0.0182,0.5203
2021-06,15m,bounce,4146,230820,0.21318,0.21212,-0.005,0.2065
2021-06,15m,through,4146,230820,0.25398,0.25466,0.0027,0.522
2021-07,15m,bounce,5233,234966,0.18378,0.19069,0.0362,0.2079
2021-07,15m,through,5233,234966,0.24445,0.25242,0.0316,0.5199
2021-08,15m,bounce,8443,240199,0.13352,0.14425,0.0744,0.2089
2021-08,15m,through,8443,240199,0.21994,0.24779,0.1124,0.5184
2021-09,15m,bounce,6981,248642,0.1615,0.16708,0.0334,0.2077
2021-09,15m,through,6981,248642,0.2276,0.25021,0.0904,0.5201
2021-10,15m,bounce,5446,255623,0.16676,0.17485,0.0462,0.2078
2021-10,15m,through,5446,255623,0.24736,0.25237,0.0199,0.5197
2021-11,15m,bounce,6083,261069,0.18984,0.18726,-0.0138,0.2081
2021-11,15m,through,6083,261069,0.24052,0.25336,0.0507,0.5182
2021-12,15m,bounce,4996,267152,0.19651,0.20491,0.041,0.209
2021-12,15m,through,4996,267152,0.23248,0.25414,0.0852,0.5159
2022-01,15m,bounce,5701,272148,0.17828,0.18936,0.0585,0.2103
2022-01,15m,through,5701,272148,0.25083,0.25082,-0.0,0.5134
2022-02,15m,bounce,5164,277849,0.26369,0.18622,-0.4161,0.2111
2022-02,15m,through,5164,277849,0.32165,0.2512,-0.2804,0.5126
2022-03,15m,bounce,3871,283013,0.18041,0.18215,0.0096,0.2117
2022-03,15m,through,3871,283013,0.2353,0.25175,0.0653,0.5117
2022-04,15m,bounce,4498,286884,0.22862,0.20475,-0.1166,0.2121
2022-04,15m,through,4498,286884,0.29595,0.25292,-0.1701,0.5106
2022-05,15m,bounce,5520,291382,0.16652,0.15955,-0.0437,0.2131
2022-05,15m,through,5520,291382,0.27937,0.24972,-0.1187,0.5083
2022-06,15m,bounce,4380,296902,0.19665,0.18744,-0.0491,0.2128
2022-06,15m,through,4380,296902,0.28568,0.25096,-0.1383,0.5086
2022-07,15m,bounce,5571,301282,0.18294,0.1864,0.0186,0.2133
2022-07,15m,through,5571,301282,0.2822,0.25096,-0.1245,0.5077
2022-08,15m,bounce,4154,306853,0.21654,0.21435,-0.0102,0.2139
2022-08,15m,through,4154,306853,0.2333,0.25253,0.0761,0.5065
2022-09,15m,bounce,6689,311007,0.18253,0.17882,-0.0207,0.215
2022-09,15m,through,6689,311007,0.28202,0.25013,-0.1275,0.5038
2022-10,15m,bounce,5445,317696,0.18587,0.18616,0.0016,0.2154
2022-10,15m,through,5445,317696,0.27492,0.25046,-0.0977,0.5035
2022-11,15m,bounce,7226,323141,0.1645,0.16322,-0.0078,0.2159
2022-11,15m,through,7226,323141,0.24082,0.25004,0.0369,0.5023
2022-12,15m,bounce,4579,330367,0.18816,0.19964,0.0575,0.2156
2022-12,15m,through,4579,330367,0.21151,0.25024,0.1548,0.5021
2023-01,15m,bounce,9118,334946,0.14318,0.15021,0.0468,0.2164
2023-01,15m,through,9118,334946,0.23438,0.24983,0.0619,0.5013
2023-02,15m,bounce,4006,344064,0.18494,0.18749,0.0136,0.2155
2023-02,15m,through,4006,344064,0.24781,0.25036,0.0102,0.503
2023-03,15m,bounce,7627,348070,0.1637,0.16849,0.0284,0.2158
2023-03,15m,through,7627,348070,0.23499,0.2499,0.0597,0.5022
2023-04,15m,bounce,4273,355697,0.18032,0.18159,0.007,0.2158
2023-04,15m,through,4273,355697,0.25268,0.25004,-0.0106,0.5027
2023-05,15m,bounce,4080,359970,0.21019,0.21482,0.0216,0.2161
2023-05,15m,through,4080,359970,0.24758,0.25076,0.0127,0.5026
2023-06,15m,bounce,5535,364050,0.18287,0.18146,-0.0078,0.217
2023-06,15m,through,5535,364050,0.24754,0.2501,0.0102,0.5009
2023-07,15m,bounce,6815,369585,0.1313,0.15217,0.1372,0.2173
2023-07,15m,through,6815,369585,0.18888,0.24998,0.2444,0.5001
2023-08,15m,bounce,4441,376400,0.18155,0.18488,0.018,0.2167
2023-08,15m,through,4441,376400,0.26717,0.25012,-0.0682,0.5021
2023-09,15m,bounce,5254,380841,0.17924,0.17636,-0.0163,0.217
2023-09,15m,through,5254,380841,0.23914,0.25016,0.044,0.5017
2023-10,15m,bounce,10146,386095,0.12848,0.14049,0.0855,0.2172
2023-10,15m,through,10146,386095,0.21879,0.24979,0.1241,0.5011
2023-11,15m,bounce,6690,396241,0.16456,0.16433,-0.0014,0.2158
2023-11,15m,through,6690,396241,0.23781,0.25,0.0488,0.5036
2023-12,15m,bounce,7470,402931,0.16198,0.16573,0.0226,0.2157
2023-12,15m,through,7470,402931,0.25569,0.24985,-0.0234,0.5036
2024-01,15m,bounce,5044,410401,0.19082,0.20177,0.0543,0.2156
2024-01,15m,through,5044,410401,0.24868,0.25044,0.007,0.5039
2024-02,15m,bounce,7028,415445,0.15783,0.15941,0.0099,0.2163
2024-02,15m,through,7028,415445,0.24675,0.2497,0.0118,0.5032
2024-03,15m,bounce,8110,422473,0.14916,0.15542,0.0403,0.216
2024-03,15m,through,8110,422473,0.234,0.24973,0.063,0.504
2024-04,15m,bounce,6045,430583,0.18263,0.1866,0.0212,0.2155
2024-04,15m,through,6045,430583,0.24454,0.25029,0.023,0.5046
2024-05,15m,bounce,6139,436628,0.17401,0.1848,0.0584,0.2159
2024-05,15m,through,6139,436628,0.23043,0.25047,0.08,0.5041
2024-06,15m,bounce,5253,442767,0.18997,0.20092,0.0545,0.2163
2024-06,15m,through,5253,442767,0.23439,0.25037,0.0638,0.5033
2024-07,15m,bounce,6860,448020,0.18293,0.19082,0.0413,0.217
2024-07,15m,through,6860,448020,0.25609,0.2501,-0.0239,0.5026
2024-08,15m,bounce,4768,454880,0.19776,0.20313,0.0264,0.2175
2024-08,15m,through,4768,454880,0.24703,0.25034,0.0133,0.5023
2024-09,15m,bounce,4543,459648,0.18168,0.18532,0.0196,0.2181
2024-09,15m,through,4543,459648,0.25928,0.25019,-0.0363,0.5015
2024-10,15m,bounce,5489,464191,0.17299,0.17534,0.0134,0.2184
2024-10,15m,through,5489,464191,0.25728,0.25005,-0.0289,0.5008
2024-11,15m,bounce,10918,469680,0.13522,0.14479,0.0661,0.2185
2024-11,15m,through,10918,469680,0.22679,0.24991,0.0925,0.5005
2024-12,15m,bounce,5487,480598,0.16985,0.17108,0.0072,0.2174
2024-12,15m,through,5487,480598,0.2441,0.25018,0.0243,0.5025
2025-01,15m,bounce,6954,486085,0.15814,0.16552,0.0446,0.2175
2025-01,15m,through,6954,486085,0.23948,0.24985,0.0415,0.5021
2025-02,15m,bounce,5683,493039,0.17691,0.18571,0.0474,0.2173
2025-02,15m,through,5683,493039,0.23951,0.25024,0.0428,0.5026
2025-03,15m,bounce,4620,498722,0.18899,0.19906,0.0506,0.2177
2025-03,15m,through,4620,498722,0.22573,0.25049,0.0988,0.5021
2025-04,15m,bounce,6001,503342,0.17319,0.17412,0.0054,0.2181
2025-04,15m,through,6001,503342,0.25038,0.25006,-0.0013,0.501
2025-05,15m,bounce,6796,509343,0.16031,0.16911,0.052,0.2182
2025-05,15m,through,6796,509343,0.24134,0.25001,0.0347,0.5006
2025-06,15m,bounce,5318,516139,0.2093,0.22079,0.0521,0.2182
2025-06,15m,through,5318,516139,0.23793,0.25012,0.0487,0.5005
